Region;ort;gid;GENERATION;Informant;PAM-Wert_WSS;Kontrollwert_WSS;PAM-Wert_NOSO;Kontrollwert_NOSO;PAM-Wert_NOT;Kontrollwert_NOT;PAM-Wert_INT;Kontrollwert_INT;PAM-Wert_FG;Kontrollwert_FG;PAM-Wert_WSD;Kontrollwert_WSD
Ostfränkisch;Bamberg;85574;jung;BAJUNG2;0.88;0.7;1.06;0.7;-;-;1.1;0.8;1.21;0.8;1.26;1.1
Ostfränkisch;Würzburg;92553;mittel;WUE1;1.08;;1.23;;1.52;;1.93;;2.11;;2.83;
Ostfränkisch;Würzburg;92553;alt;WUEALT;1.35;;1.48;;-;-;1.95;;2.31;;2.38;
Ostfränkisch;Würzburg;92553;jung;WUEJUNG;1.16;;1.34;;-;-;2.44;;2.2;;1.59;
Nordbairisch;Hirschau;82073;alt;AMALT1;1.63;1.3;1.93;1.7;-;-;2.43;2;2.93;2.6;2.65;2.5
Nordbairisch;Hirschau;82073;mittel;AM3;1.35;1;1.17;1;-;-;2.46;1.9;2.75;2.4;2.47;2.1
Nordbairisch;Hirschau;82073;jung;AMJUNG2;1.58;1.2;1.71;1.3;-;-;2.24;1.3;2.22;1.7;2.42;2.3
Nordbairisch;Weiden;73125;alt;WENALT2;1.22;1.1;1.55;1.4;-;-;2.04;1.7;2.54;2.4;2.4;2.4
Nordbairisch;Weiden;73125;mittel;WEN2;1.48;1.1;1.42;1.2;-;-;2.47;1.9;2.41;2;2.58;2
Nordbairisch;Weiden;73125;jung;WENJUNG2;1.61;1.2;1.7;1.3;-;-;2.57;1.9;2.05;1.8;2.2;2.1
Nordbairisch-Mittelbairisch;Ingolstadt;89888;alt;INALT1;1.34;1.1;1.33;1.2;-;-;1.83;1.7;2.56;2.2;2.59;2.4
Nordbairisch-Mittelbairisch;Ingolstadt;89888;mittel;IN6;1.47;1.2;1.6;1.3;-;-;2.33;2;2.76;2.5;2.77;2.5
Nordbairisch-Mittelbairisch;Ingolstadt;89888;jung;INJUNG1;1.47;1.1;1.45;1;-;-;2.21;1.7;2.36;2;2.54;2.3
Nordbairisch-Mittelbairisch;Regensburg;77282;alt;RALT1;1.28;0.9;1.35;1.2;-;-;2.19;1.5;2.6;2.1;2.21;2.2
Nordbairisch-Mittelbairisch;Regensburg;77282;mittel;R3;1.31;1;1.16;1.1;2;1.6;2.6;2.3;2.73;2.4;2.49;2.3
Nordbairisch-Mittelbairisch;Regensburg;77282;jung;RJUNG1;1.11;0.6;1.1;0.6;-;-;2.13;0.9;1.73;1.1;2.35;2.1
Mittelbairisch;München;73556;alt;MALT1;1.64;1.3;1.46;1.2;-;-;2.37;1.9;2.46;2;2.8;2.4
Mittelbairisch;München;73556;mittel;M9;1.31;1.1;1.49;1.2;-;-;2.66;2.2;2.53;2.3;2.65;2.4
Mittelbairisch;München;73556;jung;MJUNG1;0.98;0.4;0.99;0.5;-;-;2.27;0.9;1.99;0.8;1.23;0.6
Mittelbairisch;Passau;74960;mittel;PA2;1.07;;1.41;;-;-;2.68;;2.42;;2.32;
Mittelbairisch;Passau;74960;alt;PAALT2;1.39;;1.34;;-;-;2.13;;2.54;;2.74;
Mittelbairisch;Passau;74960;jung;PAJUNG;1.21;;1.65;;-;-;2.51;;2.06;;2.67;
Mittelbairisch;Trostberg;75512;alt;TSALT1;1.19;1;1.2;1.1;-;-;2.56;1.8;2.9;2.3;2.73;2.4
Mittelbairisch;Trostberg;75512;mittel;TS2;0.96;0.8;1.14;0.9;-;-;2.19;1.8;2.91;2.1;2.35;2.2
Mittelbairisch;Trostberg;75512;jung;TSJUNG1;1.19;0.9;1.07;1;-;-;1.54;1.1;2.17;2;2.29;2.1
Südbairisch-Schwäbisch;Farchant;78503;alt;GAPALT2;1.62;;2.02;;-;-;-;;2.61;;2.63;
Südbairisch-Schwäbisch;Farchant;78503;mittel;GAP1;1.08;;1.32;;-;-;2.76;;2.29;;2.27;
Südbairisch-Schwäbisch;Farchant;78503;jung;GAPJUNG1;0.97;;1.12;;-;-;1.71;;2.13;;2.6;
Schwäbisch-Mittelbairisch;Augsburg;81689;alt;AALT4;1.46;;1.77;;-;-;2.77;;2.42;;2.72;
Schwäbisch-Mittelbairisch;Augsburg;81689;mittel;A3;0.97;;1.46;;-;-;2.32;;2.85;;2.28;
Schwäbisch-Mittelbairisch;Augsburg;81689;jung;AJUNG2;-;-;-;-;-;-;-;-;-;-;-;-
Schwäbisch;Calw;132846;alt;CWALT;1.02;;1.28;;-;-;1.65;;2.4;;2.37;
Schwäbisch;Calw;132846;mittel;CW2;1.09;;1.32;;1.92;;2.02;;2.55;;2.36;
Schwäbisch;Calw;132846;jung;CWJUNG4;0.94;;0.8;;-;-;1.65;;1.8;;2.09;
Schwäbisch;Kaufbeuren;83571;alt;KFALT3;1.29;1.1;1.21;1.1;-;-;1.91;1.5;2.69;2.5;2.98;2.7
Schwäbisch;Kaufbeuren;83571;mittel;KF1;1.15;1;1.42;1.1;-;-;2.09;1.8;2.2;1.9;2.83;2.6
Schwäbisch;Kaufbeuren;83571;jung;KFJUNG1;1;0.7;1.14;0.8;-;-;1.5;1.1;1.36;1;2.27;2.2
Schwäbisch;Ulm;127525;alt;ULALT1;1.63;1.4;1.67;1.1;-;-;2.5;2.1;2.78;2.4;2.68;2.6
Schwäbisch;Ulm;127525;mittel;UL1;1.12;0.9;1.45;1.1;1.69;Bettina?;2.22;1.7;2.82;2.3;2.59;2.3
Schwäbisch;Ulm;127525;jung;ULJUNG2;1.23;1.1;1.2;1;-;-;1.94;1.9;2.3;2.1;2.42;2.4
Schwäbisch;Balingen;129371;alt;BLALT1;1.46;1.3;1.67;1.5;-;-;2.53;2.2;2.49;2.4;2.69;2.7
Schwäbisch;Balingen;129371;mittel;BL2;1.08;0.8;1.31;1.1;-;-;2.34;2;2.52;2.2;2.6;2.5
Schwäbisch;Balingen;129371;jung;BLJUNG1;1.12;0.9;1.21;1;-;-;1.42;1.2;1.37;1.4;2.31;2.2
Schwäbisch;Rudersberg;131121;alt;WNALT1;1.29;1.1;1.49;1.3;-;-;1.61;1.4;2.69;2.5;2.49;2.5
Schwäbisch;Rudersberg;131121;mittel;WN3;1.12;0.8;1.25;1;1.51;Bettina?;2.07;2;2.56;2.3;2.45;2.5
Schwäbisch;Rudersberg;131121;jung;WNJUNG1;1.19;1;1.25;1.1;-;-;1.83;1.2;1.54;1.4;2.41;2.3
Schwäbisch;Blindheim;78986;alt;DLGALT2;1.7;1.4;1.18;1;-;-;1.81;1.6;2.42;2.3;2.46;2.3
Schwäbisch;Blindheim;78986;mittel;DLG1;1.55;1.3;1.46;1.5;2.16;Bettina?;2.08;1.8;2.49;2.1;2.53;2.6
Schwäbisch;Blindheim;78986;jung;DLGJUNG2;1.29;1;1.4;1.1;-;-;1.67;1.5;2.04;1.6;2.6;2.5
Hochalemannisch;Waldshut;129900;alt;WTALT1;0.83;0.7;0.69;0.6;-;-;1.32;1;1.95;1.6;2.12;2.1
Hochalemannisch;Waldshut;129900;mittel;WT1;0.93;0.7;0.92;0.7;-;0.9;1.84;1.1;2.38;1.6;1.75;1.7
Hochalemannisch;Waldshut;129900;jung;WTJUNG1;0.72;0.3;0.81;0.4;-;-;1.12;0.4;1.3;0.4;1.59;n.d.
Hochalemannisch/Niederalemannisch;Steinen;131433;mittel;LOE6;1.07;;1.31;;1.01;;1.71;;2.37;;2.44;
Hochalemannisch/Niederalemannisch;Steinen;131433;alt;LOEALT;1.24;;1.32;;-;-;1.64;;2.64;;2.67;
Hochalemannisch/Niederalemannisch;Steinen;131433;jung;LOEJUNG1;0.8;;1.11;;-;-;1.02;;2.13;;2.25;
Mittelalemannisch;Bräunlingen;127324;mittel;VS3;0.99;0.6;0.95;0.7;-;-;1.99;1.3;2.11;1.5;2.63;2.3
Mittelalemannisch;Bräunlingen;127324;alt;VSALT2;1.17;0.8;1.09;0.8;-;-;2;1.5;2.26;1.8;2.69;2.4
Mittelalemannisch;Bräunlingen;127324;jung;VSJUNG1;1.05;0.6;1.19;0.5;-;-;1.86;1.4;2.19;1.8;2.59;2.3
Mittelalemannisch;Ravensburg;132509;alt;RVALT;1.07;0.78;1.07;0.9;-;-;2.15;1.61;2.42;1.89;2.58;2.07
Mittelalemannisch;Ravensburg;132509;jung;RVJUNG1;1.24;0.9;1.14;0.88;-;-;1.94;1.18;2.56;1.86;2.37;
Mittelalemannisch;Ravensburg;132509;mittel;RV2;1.09;0.79;1.19;0.91;-;-;2.06;1.73;2.47;1.83;2.29;1.96
Mittelalemannisch;Tuttlingen;130272;mittel;TUT3;1.3;0.77;1.46;1.01;1.84;1.32;2.26;1.63;2.23;1.82;2.61;2.07
Mittelalemannisch;Tuttlingen;130272;alt;TUTALT2;1.07;0.66;1.26;0.95;-;-;1.72;1.15;2.32;1.65;2;1.81
Mittelalemannisch;Tuttlingen;130272;jung;TUTJUNG1;0.73;0.5;0.77;0.5;-;-;1.19;0.64;1.58;0.83;2.2;1.83
Niederalemannisch;Ohlsbach;128482;mittel;OG2;1.09;0.7;1.34;0.9;1.61;1.09;1.99;1.4;2.19;2;2.42;2.2
Niederalemannisch;Ohlsbach;128482;alt;OGALT;1.3;0.8;1.31;1.1;-;-;2.54;2;2.81;2.3;2.5;2.2
Niederalemannisch;Ohlsbach;128482;jung;OGJUNG2;0.95;0.5;0.88;0.6;-;-;1.75;1.26;2.22;1.9;2;1.6
